,title,year,kind,genre,rating,vote,country,language,director,runtime
1,Get Up and Dance!,1994.0,0,10,4,5.280084091431561e-06,8,2,3284,0.05006180469715698
3,What the #$*! Do We (K)now!?,2004.0,0,6,2,0.005453514545819351,8,0,3598,0.03584672435105068
4,Class of Nuke 'Em High Part II: Subhumanoid Meltdown,1991.0,0,4,2,0.0008821802035837962,8,2,993,0.05809641532756489
6,Neil Diamond: Greatest Hits Live,1988.0,0,6,1,3.086818391913836e-05,8,2,931,0.03275648949320148
7,7 Seconds,2005.0,0,0,2,0.002903233929657908,7,2,3197,0.07169344870210134
8,By Dawn's Early Light,1990.0,0,0,1,0.001175021790500885,8,0,1422,0.034610630407911
9,Seeta Aur Geeta,1972.0,0,1,1,0.0007363686505973399,4,3,2819,0.008034610630407911
10,Strange Relations,2001.0,0,7,1,0.00030990032013556004,7,2,2662,0.04511742892459827
11,Sesame Street Presents: The Street We Live On,2004.0,1,2,1,2.518193951298129e-05,8,0,1961,0.12546353522867737
12,Boycott,2001.0,0,7,1,0.0003639196419940522,8,2,619,0.052533992583436336
13,Meat Loaf: Bat Out of Hell,1999.0,1,6,1,0.00011413104843786682,8,2,360,0.03275648949320148
15,FernGully 2: The Magical Rescue,1998.0,0,2,2,0.0006007111054790214,8,2,2755,0.0710754017305315
17,Zatoichi's Conspiracy,1973.0,0,0,1,0.00036798124514130724,6,4,1985,0.055624227441285534
18,Daydream Obsession,2003.0,0,10,0,4.6708436193433045e-05,8,2,3409,0.043263288009888747
20,TerrorVision,1986.0,0,4,2,0.0027509238116358433,8,2,3374,0.06242274412855376
21,The Spitfire Grill,1996.0,0,7,1,0.0027801673542960795,8,2,2061,0.06922126081582199
23,The Weather Underground,2002.0,0,6,1,0.0014447122394786202,8,2,3077,0.044499381953028425
24,The Bonesetter,2003.0,0,8,3,8.326286451872846e-05,0,2,388,0.049443757725587144
25,Carandiru,2003.0,0,7,1,0.007686583956180176,9,0,1296,0.06365883807169344
